,회원번호,조합원상태,주소,성별,연령,배송서비스신청여부,모바일알람여부,Gold_member,탈퇴여부,연령대,구,동
119,1010430528,정상회원,수지구-풍덕천동,여,65.0,미신청,.,normal,정상,60대,수지구,풍덕천동
120,1010465792,정상회원,수지구-상현동,여,42.0,미신청,.,normal,정상,40대,수지구,상현동
121,1010515904,정상회원,분당구-수내동,남,37.0,미신청,.,normal,정상,30대,분당구,수내동
122,1010573440,정상회원,서울 강남구-기타,여,36.0,미신청,.,normal,정상,30대,서울 강남구,기타
123,1010803584,정상회원,수지구-동천동,여,70.0,미신청,.,normal,정상,70대,수지구,동천동
124,1010820288,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,정상,30대,수지구,풍덕천동
125,1010955776,정상회원,수지구-동천동,여,38.0,미신청,.,normal,정상,30대,수지구,동천동
126,1010970624,정상회원,수지구-동천동,여,70.0,미신청,.,normal,정상,70대,수지구,동천동
127,1011000320,정상회원,수지구-동천동,여,62.0,미신청,.,normal,정상,60대,수지구,동천동
128,1011035584,정상회원,수지구-풍덕천동,여,74.0,미신청,.,normal,정상,70대,수지구,풍덕천동
129,1011100544,정상회원,수지구-풍덕천동,여,38.0,미신청,.,normal,정상,30대,수지구,풍덕천동
130,1011139520,정상회원,수지구-상현동,여,44.0,미신청,.,normal,정상,40대,수지구,상현동
131,1011145088,정상회원,서울 송파구-기타,여,36.0,신청,수신,normal,정상,30대,서울 송파구,기타
132,1011343680,정상회원,수지구-풍덕천동,여,43.0,미신청,.,normal,정상,40대,수지구,풍덕천동
133,1011488448,정상회원,수지구-동천동,여,39.0,미신청,.,normal,정상,30대,수지구,동천동
134,1011540416,정상회원,수지구-신봉동,여,40.0,미신청,.,normal,정상,40대,수지구,신봉동
135,1011553408,정상회원,수지구-풍덕천동,여,79.0,미신청,.,normal,정상,70대,수지구,풍덕천동
136,1011625792,정상회원,기흥구-기타,여,63.0,미신청,.,normal,정상,60대,기흥구,기타
137,1011982144,정상회원,기흥구-언남동,여,41.0,미신청,.,normal,정상,40대,기흥구,언남동
138,1012026688,정상회원,수지구-신봉동,여,62.0,미신청,.,normal,정상,60대,수지구,신봉동
139,1012093504,정상회원,수지구-동천동,여,46.0,미신청,.,normal,정상,40대,수지구,동천동
140,1012191872,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,정상,30대,수지구,풍덕천동
141,1012531520,정상회원,수지구-상현동,여,44.0,미신청,.,normal,정상,40대,수지구,상현동
142,1012615040,정상회원,수지구-동천동,여,72.0,미신청,.,normal,정상,70대,수지구,동천동
143,1012713408,정상회원,분당구-중동,여,55.0,미신청,.,normal,정상,50대,분당구,중동
144,1012778368,정상회원,수지구-풍덕천동,여,42.0,미신청,.,normal,정상,40대,수지구,풍덕천동
145,1012837760,정상회원,수지구-동천동,여,46.0,미신청,.,normal,정상,40대,수지구,동천동
146,1012941696,정상회원,수지구-풍덕천동,여,51.0,미신청,.,normal,정상,50대,수지구,풍덕천동
147,101300480,정상회원,수지구-상현동,여,52.0,신청,.,normal,정상,50대,수지구,상현동
148,1013004800,정상회원,수지구-동천동,여,48.0,미신청,.,normal,정상,40대,수지구,동천동
149,1013056768,정상회원,수지구-풍덕천동,여,41.0,미신청,.,normal,정상,40대,수지구,풍덕천동
150,1013108736,정상회원,수지구-동천동,여,51.0,미신청,.,normal,정상,50대,수지구,동천동
151,1013136576,정상회원,수지구-동천동,여,47.0,미신청,.,normal,정상,40대,수지구,동천동
152,1013156992,정상회원,수지구-동천동,여,45.0,미신청,.,normal,정상,40대,수지구,동천동
153,1013168128,정상회원,분당구-구미동,여,51.0,미신청,.,normal,정상,50대,분당구,구미동
154,101319040,정상회원,수지구-성복동,여,67.0,미신청,.,normal,정상,60대,수지구,성복동
155,1013446528,정상회원,수지구-상현동,여,40.0,미신청,.,normal,정상,40대,수지구,상현동
156,1013457664,정상회원,수지구-상현동,여,70.0,미신청,.,normal,정상,70대,수지구,상현동
157,1013507776,정상회원,수지구-상현동,남,79.0,미신청,.,normal,정상,70대,수지구,상현동
158,1013658112,정상회원,수지구-동천동,여,37.0,미신청,.,normal,정상,30대,수지구,동천동
159,1013669248,정상회원,수지구-죽전동,여,45.0,신청,.,normal,정상,40대,수지구,죽전동
160,1013685952,정상회원,수지구-상현동,여,43.0,미신청,.,normal,정상,40대,수지구,상현동
161,1013791744,정상회원,수지구-풍덕천동,여,69.0,미신청,.,normal,정상,60대,수지구,풍덕천동
162,1013851136,정상회원,수지구-상현동,여,68.0,미신청,.,normal,정상,60대,수지구,상현동
163,1013999616,정상회원,수지구-동천동,여,47.0,미신청,.,normal,정상,40대,수지구,동천동
164,1014086848,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,정상,30대,수지구,풍덕천동
165,1014120256,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,정상,30대,수지구,풍덕천동
166,1014159232,정상회원,기타-기타,여,36.0,미신청,.,normal,정상,30대,기타,기타
167,1014279872,정상회원,수지구-풍덕천동,여,54.0,미신청,.,normal,정상,50대,수지구,풍덕천동
168,1014539712,정상회원,수지구-풍덕천동,여,65.0,미신청,수신,normal,정상,60대,수지구,풍덕천동
169,1014729024,정상회원,수지구-동천동,여,70.0,미신청,.,normal,정상,70대,수지구,동천동
170,1014857088,정상회원,수지구-신봉동,여,60.0,미신청,.,normal,정상,60대,수지구,신봉동
171,1014864512,정상회원,수지구-신봉동,여,78.0,미신청,.,normal,정상,70대,수지구,신봉동
172,1014870080,정상회원,수지구-신봉동,여,37.0,미신청,.,normal,정상,30대,수지구,신봉동
173,1014884928,정상회원,수지구-풍덕천동,여,35.0,미신청,.,normal,정상,30대,수지구,풍덕천동
174,1014920192,정상회원,수지구-풍덕천동,여,39.0,미신청,.,normal,정상,30대,수지구,풍덕천동
175,1014948032,정상회원,수지구-풍덕천동,여,63.0,미신청,.,normal,정상,60대,수지구,풍덕천동
176,1014981440,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,정상,30대,수지구,풍덕천동
177,1015011136,정상회원,수지구-풍덕천동,여,29.0,신청,.,normal,정상,20대,수지구,풍덕천동
178,1015194880,정상회원,수지구-풍덕천동,여,62.0,미신청,.,normal,정상,60대,수지구,풍덕천동
179,1015235712,정상회원,수지구-풍덕천동,여,36.0,미신청,.,normal,정상,30대,수지구,풍덕천동
180,1015246848,정상회원,수지구-풍덕천동,여,43.0,신청,.,normal,정상,40대,수지구,풍덕천동
181,1015321088,정상회원,수지구-동천동,여,46.0,미신청,.,normal,정상,40대,수지구,동천동
182,1015356352,정상회원,수지구-동천동,여,48.0,미신청,.,normal,정상,40대,수지구,동천동
183,1015358208,정상회원,수지구-동천동,여,49.0,미신청,.,normal,정상,40대,수지구,동천동
184,1015449152,정상회원,기흥구-보정동,여,67.0,미신청,.,normal,정상,60대,기흥구,보정동
185,1015495552,정상회원,수지구-동천동,여,52.0,미신청,.,normal,정상,50대,수지구,동천동
186,1015502976,정상회원,수지구-동천동,여,48.0,미신청,.,normal,정상,40대,수지구,동천동
187,1015517824,정상회원,기타-기타,남,48.0,미신청,.,normal,정상,40대,기타,기타
188,1015525248,정상회원,기타-기타,여,49.0,미신청,.,normal,정상,40대,기타,기타
189,101554752,정상회원,기타-기타,여,42.0,미신청,.,normal,정상,40대,기타,기타
190,1015562368,정상회원,수지구-동천동,여,54.0,미신청,.,normal,정상,50대,수지구,동천동
191,1015614336,정상회원,기타-기타,여,40.0,미신청,.,normal,정상,40대,기타,기타
192,1015683008,정상회원,수지구-풍덕천동,여,36.0,미신청,.,normal,정상,30대,수지구,풍덕천동
193,1015762816,정상회원,분당구-삼평동,여,38.0,미신청,.,normal,정상,30대,분당구,삼평동
194,1015902016,정상회원,수지구-동천동,여,48.0,미신청,.,normal,정상,40대,수지구,동천동
195,1015935424,정상회원,수지구-신봉동,여,36.0,미신청,.,normal,정상,30대,수지구,신봉동
196,1015959552,정상회원,수지구-동천동,여,73.0,미신청,.,normal,정상,70대,수지구,동천동
197,1015985536,정상회원,수지구-상현동,여,61.0,미신청,.,normal,정상,60대,수지구,상현동
198,1016044928,정상회원,수지구-신봉동,여,52.0,미신청,.,normal,정상,50대,수지구,신봉동
199,1016210112,정상회원,서울 강남구-기타,여,43.0,미신청,.,normal,정상,40대,서울 강남구,기타
200,1016492224,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,정상,30대,수지구,풍덕천동
201,1016655552,정상회원,수지구-풍덕천동,여,48.0,미신청,.,normal,정상,40대,수지구,풍덕천동
202,1016726080,정상회원,수지구-동천동,여,52.0,미신청,.,normal,정상,50대,수지구,동천동
203,1016844864,정상회원,수지구-풍덕천동,여,50.0,미신청,.,normal,정상,50대,수지구,풍덕천동
204,1016874560,정상회원,수지구-동천동,여,49.0,미신청,.,normal,정상,40대,수지구,동천동
205,1017073152,정상회원,수원 영통구-기타,여,60.0,미신청,.,normal,정상,60대,수원 영통구,기타
206,1017086144,정상회원,수지구-풍덕천동,여,37.0,미신청,.,normal,정상,30대,수지구,풍덕천동
207,1017423936,정상회원,서울 강남구-기타,여,77.0,미신청,.,normal,정상,70대,서울 강남구,기타
208,1017498176,정상회원,수지구-풍덕천동,여,53.0,미신청,.,normal,정상,50대,수지구,풍덕천동
209,1017553856,정상회원,수원 팔달구-기타,여,41.0,미신청,.,normal,정상,40대,수원 팔달구,기타
210,101760768,정상회원,수지구-상현동,여,64.0,신청,.,normal,정상,60대,수지구,상현동
